name,category_list,domain_clean
AYZH Health and Livelihood Pvt Ltd,Health and Wellness|Pharmaceuticals|Social Entrepreneurship,HealthTech
AZ Tech Beat,News|Technology,news|technology
AZ West Endoscopy Center,Biotechnology,biotechnology
Azadi,Fitness|Health and Wellness|Women,HealthTech
Azaire Networks,Mobile,mobile
Azalea Health,Health Care|Information Technology|Software,HealthTech
Azalea Networks,Mobile,mobile
Azalead,Enterprise Software|Marketing Automation|Sales and Marketing|Software,SaaS
Azaleos,Enterprise Software|Mobile|Unifed Communications|Web Development,SaaS
Azameo,Advertising|Databases|Sales and Marketing,MarTech
Azelon Pharmaceuticals,Biotechnology,biotechnology
Azendoo,Enterprise Software|Productivity Software|Project Management|SaaS|Social Media|Social Network Media|Task Management,SaaS
azeti Networks AG,Cloud Infrastructure|Internet of Things|M2M|Software,SaaS
Azevan Pharmaceuticals,Biotechnology,biotechnology
Azima,Software,SaaS
Azimo,Curated Web|Finance Technology|Financial Services|FinTech|Personal Finance|Virtualization,FinTech
Azimuth Systems,Telecommunications|Test and Measurement,telecommunications|test and measurement
Azingo,Internet|Mobile|Wireless,internet|mobile|wireless
Aznog Technologies Limited,Telecommunications,telecommunications
Azoi,Hardware + Software|Health and Wellness,HealthTech
Azonia,E-Commerce,e-commerce
Azooki,Leisure|Travel|Travel & Tourism,leisure|travel|travel & tourism
Azoti Inc.,Corporate Wellness|Farmers Market|Farming|Food Processing|Health and Wellness,HealthTech
Aztec Group,Finance,FinTech
AZTherapies,Fitness|Health Care|Pharmaceuticals,HealthTech
Azubu,Games,games
Azuki Systems,Enterprise Software|Video Streaming,SaaS
Azul Systems,Software,SaaS
Azullo,Advertising|Software,SaaS
AzulStar,Web Hosting,web hosting
Azumio,Software,SaaS
Azuna,News,news
Azuqua,Cloud Management|Enterprise Software|Marketing Automation|SaaS|Software,SaaS
Azur Systems,Software,SaaS
Azuray Technologies,Semiconductors,semiconductors
Azure Hospitality,Hospitality,hospitality
Azure Minerals,Data Mining|Mining Technologies|Renewable Energies,data mining|mining technologies|renewable energies
Azure Power,Clean Technology|Energy|Renewable Energies,clean technology|energy|renewable energies
AzureBooker,Online Travel,online travel
Azuro,Semiconductors,semiconductors
Azzure IT,Software,SaaS
B-Bridge International,Biotechnology,biotechnology
B Concept Media Entertainment Group,Creative|Entertainment|Events|Music,AI
b-datum,Enterprise Software,SaaS
EVERYWARE,Mobile|SaaS|Small and Medium Businesses|Software,SaaS
B.GUARD,Consumer Electronics|Electronics|Manufacturing|Security,consumer electronics|electronics|manufacturing|security
B-hive Networks,Finance|FinTech|Networking,FinTech
B-Obvious,Web Hosting,web hosting
B-PARTS.com,Automotive|Marketplaces|Recycling,automotive|marketplaces|recycling
B-Side Entertainment,Games,games
B. Side Swimwear,E-Commerce|Fashion|Manufacturing|Retail,AI
b spot,Entertainment|Gambling|Game|Technology,AI
B&W Loudspeakers,Mobile,mobile
B1bl3Shares LLC,Bitcoin|Virtual Currency,bitcoin|virtual currency
B2M Solutions,Analytics|Mobile Devices|Mobile Enterprise|Software,SaaS
B2X Care Solutions,Customer Service|Hardware + Software|Mobile|Supply Chain Management|Tablets,AI
b3 bio,Biotechnology,biotechnology
B4C Technologies,Manufacturing,manufacturing
B5M.COM,E-Commerce|Internet,e-commerce|internet
b5media,News,news
BA Insight,Enterprise Search|Software|Web Development,SaaS
Baanto International,Digital Signage|Hardware + Software,SaaS
Baarzo,Digital Media|Enterprise Software|Search,SaaS
BAASBOX,Software,SaaS
Bababoo,iPhone|Messaging|Mobile|VoIP,iphone|messaging|mobile|voip
BABADU,E-Commerce,e-commerce
Babajob,Curated Web|Information Technology|Services|Staffing Firms,FinTech
BabbaCo (acquired by Barefoot Books in 2014),E-Commerce|Startups,e-commerce|startups
Babbel,Apps|EdTech|Education|Language Learning,EdTech
babberly,Local|Mobile|Social Media|Social Search,local|mobile|social media|social search
Babble,Media|News|Parenting,media|news|parenting
BABBLER,Email|Media|Public Relations,AI
Babelgum,Mobile|Television|Web Development,mobile|television|web development
Babelverse,Collaborative Consumption|Communications Infrastructure|Communities|Consumer Electronics|Crowdsourcing|Curated Web|Events|Hospitality|Language Learning|Mobile|Natural Language Processing|Real Time|Skill Assessment|Social Travel|Tourism|Translation|Travel,collaborative consumption|communications infrastructure|communities|consumer electronics|crowdsourcing|curated web|events|hospitality|language learning|mobile|natural language processing|real time|skill assessment|social travel|tourism|translation|travel
Babelway,B2B|Cloud Computing|Enterprise Software|SaaS,SaaS
Babil Games,Games,games
Babington Group,Accounting|Advice|Customer Service|Education|Finance,FinTech
BABL Media,Advertising|Brand Marketing|Media|Mobile Advertising,MarTech
Bablic,Software,SaaS
Baboo,Enterprise Software|Entertainment|Market Research,AI
BABOOM,Music,music
Baboon,Consumers|Delivery|Hospitality,consumers|delivery|hospitality
Baby Blendy,Baby Accessories,baby accessories
Baby Bundle,Apps|Health Care|Parenting,HealthTech
Baby.com.br,E-Commerce,e-commerce
Baby World Language,Education,EdTech
Babyage,E-Commerce,e-commerce
Babybe,Babies|Health Care|Wearables,HealthTech
BABYBOOM.ru,E-Commerce,e-commerce
Babycare,Education,EdTech
BabyCenter,Curated Web|Health and Wellness|Parenting,HealthTech
BabyChakra,Information Technology,information technology
BabyFirstTV,Games,games
BabyGlowz,Manufacturing,manufacturing
"BabyJunk, Inc",E-Commerce|Parenting|Women,e-commerce|parenting|women
BabyList,E-Commerce,e-commerce
Babyoye,E-Commerce,e-commerce
BabyWatch,Hardware + Software,SaaS
BAC ON TRAC,Education,EdTech
Bacchus Vascular,Electronics|Health and Wellness|Health Care|Medical,HealthTech
Baciagalupe Company,Entertainment,AI
Back At You Media,Enterprise Software|Real Estate|Realtors|SaaS|Sales and Marketing|Social Media,SaaS
Back to the Roots,DIY|Environmental Innovation,diy|environmental innovation
Backand,Development Platforms|Software|Web Development,SaaS
Backblaze,Software,SaaS
Backboard,Cloud Security|Mobile|Photography|Photo Sharing,cloud security|mobile|photography|photo sharing
Backchannelmedia,News,news
Backchat,Messaging|Social Media,messaging|social media
Backdoor,Chat,chat
BackerKit,Crowdfunding|SaaS,SaaS
Backflip Studios,Games,games
Backjoy,Beauty|Health and Wellness|Health Care,HealthTech
BackOffice Associates,Information Technology,information technology
BackOps,Accounting|Financial Services|FinTech|Human Resources|Software,FinTech
Backpack,Local Businesses|Social Commerce|Social Travel,local businesses|social commerce|social travel
Backpacker Panda Holidays Private Limited,Service Providers|Tourism|Travel,service providers|tourism|travel
Backplane,Apps|Curated Web,apps|curated web
Backspaces,Photography,photography
backstitch,Search,search
Backtrace,Enterprise Software,SaaS
BackType,Advertising,advertising
Backup Circle,Data Security|Flash Storage|Home & Garden|Security|Software|Storage,SaaS
BackupAgent,SaaS|Software|Storage,SaaS
Backupify,Enterprise Software,SaaS
Backyard Brains,Education,EdTech
Backyard Broadcasting Holdings,Broadcasting,broadcasting
Bacterin International Holdings,Biotechnology,biotechnology
Bacterioscan,Biotechnology,biotechnology
Bactiguard,Medical Devices,HealthTech
Bacula,Open Source,open source
BDS Mobile,Application Platforms|Brand Marketing|Communications Infrastructure|Enterprise Software|Mobile Software Tools|Social Media,SaaS
"Bad Juju Games, Inc.",Advertising|Analytics|Big Data|Mobile Games|Software|Video Games,SaaS
Bad Seed Entertainment,Games,games
BadAbroad,Travel,travel
Badger Innovative Technologies,Construction|Manufacturing,construction|manufacturing
Badger Maps,Enterprise Software|Software,SaaS
Badgeville,Enterprise Software,SaaS
PerfectPost,E-Commerce|Facebook Applications|Fashion|Gamification|Sales and Marketing|SEO|Social Media Marketing|Twitter Applications,MarTech
Badongo.com,File Sharing|Flash Storage|Storage|Web Hosting,file sharing|flash storage|storage|web hosting
Badoo,Curated Web|Online Dating|Social Network Media,curated web|online dating|social network media
BAE Systems,Manufacturing|Transportation,manufacturing|transportation
Baebies,Medical Devices,HealthTech
Baeta,Hardware + Software,SaaS
Bag of goodies,Mobile Commerce|Online Shopping|Social Commerce,E-Commerce
Bag of Ice,Manufacturing|Retail,AI
Bagels and Bean,Delivery|Hospitality,delivery|hospitality
BagsUp,Internet,internet
Bagzee,E-Commerce|Fashion|Gamification|Incentives|Mobile Commerce|Online Shopping|Real Time|Social Commerce,E-Commerce
Bahamaslocal.com,Advertising|Search,advertising|search
Bahu,Social Media,social media
Baidu,Search,search
Baifendian,Enterprises|Enterprise Software,SaaS
Baihe,Social Media,social media
Baike.com,Social Media,social media
baimos technologies,Android|Apps|Collaborative Consumption|Developer APIs|File Sharing|iOS|Mobile|Security|Software,SaaS
Bairo Corporation,Health and Wellness|Health Care|SaaS,HealthTech
baixing.com,Classifieds,classifieds
Bakbone Software,Security,security
BakedCode,Apps|Internet|Project Management|Software,SaaS
Bakers Circle,Food Processing,food processing
Bakipa,Families|Marketplaces,families|marketplaces
BakUSA,Manufacturing,manufacturing
BalaBit,Accounting|IT and Cybersecurity|Software,SaaS
Balakam,Search|Technology,search|technology
BALALIKEA,Social Media,social media
Balance Financial,Enterprise Software|Finance Technology,FinTech
Balanced,E-Commerce|Mobile Payments|Payments|Peer-to-Peer,FinTech
Balanced Labs,Accounting|Productivity Software|SaaS,SaaS
Balandras,Software,SaaS
Balaya,Public Relations,public relations
BalconyTV,Games|Music|Video|Video Streaming,games|music|video|video streaming
"Balderdash, Inc.",Consulting|Design|Mobile|Real Time|Software|User Experience Design|Web Development,SaaS
Balerin.com,E-Commerce,e-commerce
Balihoo,Advertising|Media|Software,SaaS
Ball Street,Advertising|Content|Product Development Services|Sports|Video,advertising|content|product development services|sports|video
Ballard Power Systems,Clean Technology,clean technology
Ballista Securities,Financial Services|Security|Trading,FinTech
BallLogic,Hardware + Software,SaaS
Ballooning Nest Eggs,Finance,FinTech
Balls.ie,Games|Social Media|Software|Sports,SaaS
Balluun,Art|B2B|Cloud Infrastructure|Cosmetics|E-Commerce|Marketplaces|SaaS|Social Commerce|Social Network Media|Startups|Technology|Toys|Wholesale,SaaS
Balm Innovations,Health Care|New Product Development|Product Development Services,HealthTech
Baloonr,Collaboration|Enterprise Software|Innovation Engineering|Mobile Enterprise|SaaS,SaaS
Baltic Motors Corporation,Auto|Automotive|Cars,auto|automotive|cars
Baltic Ticket Holdings AS,Ticketing,ticketing
Balzo,Gamification|Online Gaming|Video Games,gamification|online gaming|video games
BAM Labs,Biotechnology|Health and Wellness,HealthTech
Bama Leasing,Automotive|Cars|Financial Services,FinTech
Bambeco,Curated Web,curated web
Bambisa,Apps|Content|E-Commerce|Education|Teachers,EdTech
BambooHR,Human Resources|Software,SaaS
Bamboo System Technology Pte Ltd,Corporate Training|EdTech|Education|Enterprise Software,AI
Bamboostr,Social Media Platforms,social media platforms
Bambuser,Mobile|Real Time|Video|Video Streaming,mobile|real time|video|video streaming
BAMx,Internet,internet
BananaBandy,Communities,communities
BancABC,Business Services|Finance|Financial Services,FinTech
BANCALIS GmbH,Algorithms|Finance Technology|FinTech|New Technologies,FinTech
Finxera,Enterprise Software,SaaS
Bancha,Events|Peer-to-Peer|Tourism|Travel,events|peer-to-peer|tourism|travel
Bancore A/S,E-Commerce|Mobile Payments,FinTech
Band Digital,Internet Marketing,MarTech
Band Industries,Consumer Electronics|Hardware + Software|Music|Startups,SaaS
Band Metrics,Big Data Analytics|Machine Learning|Music|Natural Language Processing|Opinions|Reputation|Technology,big data analytics|machine learning|music|natural language processing|opinions|reputation|technology
BandAndMe,Analytics|Apps|Media|Music,analytics|apps|media|music
BandApp,Music,music
Bandcamp,Music,music
Bandgap Engineering,Nanotechnology,nanotechnology
Bandhappy,Music,music
Bandpage,Content Delivery|E-Commerce|Music Services|Startups,content delivery|e-commerce|music services|startups
Bandsintown,Apps|Concerts|Ediscovery|Events|Facebook Applications|Mobile|Music|Social Media Marketing,MarTech
Bandsintown Group,Apps|Big Data|Email Marketing|Mobile|Music|Social Search,AI
Bandspeed,Mobile,mobile
Bandtastic,Crowdfunding|Entertainment|Music|Social Media|Startups,AI
Bandura,Software,SaaS
Bandwagon,Public Transportation|Transportation,public transportation|transportation
Bandwdth Publishing,Apps|Art|Education|Entertainment|Games|Music|Publishing,AI
Bandwidth,VoIP|Web Hosting,voip|web hosting
Bang Networks,Automated Kiosk|Digital Media|Marketing Automation|Media|Sales and Marketing,MarTech
BANGCLE,Android|Mobile Security|Mobile Software Tools,SaaS
Bangbite,Games,games
Bangee,Fashion,fashion
Bango,Mobile,mobile
Banian Labs,Apps|Internet|Technology,apps|internet|technology
Banjo,Android|Apps|Concerts|Internet|iOS|iPad|iPhone|Location Based Services|Mobile|News|Real Time|Social Media|Social Search|Sports,android|apps|concerts|internet|ios|ipad|iphone|location based services|mobile|news|real time|social media|social search|sports
BankBazaar.com,Credit Cards|Curated Web|Finance|Insurance|Real Estate Investors,FinTech
Banker's Toolbox,Banking|Risk Management|Software,FinTech
BankerBay Technologies,Finance,FinTech
BankFacil,Banking|Consumer Lending|Personal Finance,FinTech
Bankfeeinsider.com,Public Relations,public relations
Banki.ru,Finance,FinTech
Bankjoy,Finance|Financial Services,FinTech
Bankofpoker,Advertising|Internet|Media|Mobile|Sales and Marketing,MarTech
Simple,Banking|Enterprise Software|Finance,FinTech
Banksnob,Credit Cards|Finance|Financial Services|Personal Finance|Search,FinTech
BankToTheFuture,Crowdfunding|Finance|Peer-to-Peer|Startups|Venture Capital,FinTech
Bannerman Resources,Manufacturing,manufacturing
BannerView.com,Enterprise Software|Web Development|Web Hosting,SaaS
Banno,Finance,FinTech
Banro Corporation,Manufacturing,manufacturing
Bantam Live,Contact Management|CRM|Enterprise Software|Social CRM,SaaS
Bantr,Games|Soccer|Social Network Media|Sports,games|soccer|social network media|sports
Bantu LLC,Enterprise Software,SaaS
Banyan Biomarkers,Biotechnology,biotechnology
Banyan Branch,Consulting|Facebook Applications|News|Social Media|Twitter Applications,consulting|facebook applications|news|social media|twitter applications
Banyan Water,Renewable Energies|Water,renewable energies|water
Baobab Planet,Entertainment|Games|Kids|MMO Games|Parenting|Virtual Worlds|Web Development,AI
Baojia.com,Cars|Distribution|Internet,cars|distribution|internet
Baoku,Travel,travel
Popcorn network,Social Media,social media
Baozun Commerce,E-Commerce,e-commerce
Bapul,Education,EdTech
Bar & Club Stats,Big Data Analytics|iPhone|Mobile|Nightlife,big data analytics|iphone|mobile|nightlife
Bar Harbor BioTechnology,Biotechnology,biotechnology
Bar Pass,Customer Service|Mobile Commerce|Mobile Payments|Restaurants,FinTech
Barak ITC,Web Hosting,web hosting
Baravento,Lifestyle Products,lifestyle products
BarBird,E-Commerce,e-commerce
BY,ICT|Online Travel|Travel|Travel & Tourism,ict|online travel|travel|travel & tourism
Barcol Air USA,Manufacturing,manufacturing
barcoo,Consumers|Data Visualization|Hardware|Mobile,consumers|data visualization|hardware|mobile
Bardolino Grille,Hospitality,hospitality
Bare Snacks,Hospitality|Specialty Foods,hospitality|specialty foods
Bare Labor,Automotive,automotive
BareedEE,Logistics,logistics
Barefoot Networks,Computers|Startups|Technology,computers|startups|technology
Barefoot Power,Renewable Energies,renewable energies
Baremetrics,Business Analytics|Cloud Computing|Data Visualization,business analytics|cloud computing|data visualization
BarEye,Hospitality,hospitality
Bargain Technologies,Discounts|Internet|Service Providers,discounts|internet|service providers
Bark & Co,Pets,pets
BarkBox,Pets,pets
Barkibu,Pets,pets
Barking,Consumers,consumers
BarkingSeals.com,E-Commerce,e-commerce
Barn & Willow,Custom Retail|E-Commerce|Home Decor|Retail,AI
"Barn2Door, Inc.",Agriculture|E-Commerce|Farmers Market|Local|Marketplaces|Mobile|Organic Food|Specialty Foods,agriculture|e-commerce|farmers market|local|marketplaces|mobile|organic food|specialty foods
Barnana,Consumer Goods|Organic|Specialty Foods,consumer goods|organic|specialty foods
Barnebys - All Auctions in one place,Art|Auctions|Databases|Search,art|auctions|databases|search
Barnes & Noble,E-Commerce,e-commerce
Barnraiser,Crowdfunding|Organic Food,crowdfunding|organic food
Baro,Collaborative Consumption|Mobile|Online Rental|Peer-to-Peer,collaborative consumption|mobile|online rental|peer-to-peer
BaroFold,Biotechnology,biotechnology
Baron Fig,E-Commerce|Mobile|Product Design,e-commerce|mobile|product design
BAROnova,Health Care,HealthTech
Barosense,Biotechnology,biotechnology
Barqo,Boating Industry|Collaborative Consumption,boating industry|collaborative consumption
Barracuda Networks,Communications Hardware|Computers|Security,communications hardware|computers|security
Barrel Door Productions,Entertainment|Games,AI
Barricade IO,Cyber Security|Design|SaaS|Security,SaaS
Barriga Foods,Hospitality,hospitality
BARRX Medical,Health Care|Medical|Technology,HealthTech
Barry's Bootcamp,Health and Wellness,HealthTech
Barspace,iPhone|Location Based Services|Messaging|Mobile|Social Media,iphone|location based services|messaging|mobile|social media
barter.li,Education,EdTech
Bartermill.com,Business Services|Curated Web|Social Network Media|Trading,business services|curated web|social network media|trading
Bartesian,Consumer Goods,consumer goods
BarTrendr,Social Media,social media
Baru Exchange,Networking|Software|Web Hosting,SaaS
Barzahlen - Cash Payment Solutions GmbH,E-Commerce|FinTech|Games|Payments|Utilities,FinTech
Base CRM,CRM|Software,SaaS
Base79,Advertising|Entertainment|Mobile|Music|Sports|Television|Video|Video Streaming,AI
Basecamp Networks,Agriculture|Google Apps|Google Glass|Mobile|Retail Technology|Wireless,AI
Basecom,Manufacturing,manufacturing
BaseKit,Curated Web|Internet|Web Design,curated web|internet|web design
BASELABS GmbH,Automotive|Software,SaaS
Basement Ventures,Venture Capital,venture capital
BaseRide Technologies,Big Data Analytics|Logistics|Transportation,big data analytics|logistics|transportation
BASH Gaming,Android|Facebook Applications|Gambling|Game|Games|iPhone|Social Media,android|facebook applications|gambling|game|games|iphone|social media
Basha,E-Commerce,e-commerce
BasharaCare,Beauty|E-Commerce|Health and Wellness|Internet,HealthTech
BasharSoft,Information Technology,information technology
Basho Technologies,Cloud Infrastructure|Databases|Software,SaaS
Basic Pharma,Bio-Pharm|Medical|Pharmaceuticals,HealthTech
Basic6,Software,SaaS
BasicGov Systems,Cloud Computing|SaaS|Software,SaaS
basico.com,E-Commerce|Fashion,e-commerce|fashion
Basis Science,Fitness|Health and Wellness,HealthTech
Basis Technology,Analytics|Language Learning|Search|Software|Text Analytics,SaaS
BasisCode,Financial Services|FinTech,FinTech
basno,Curated Web|Fashion,curated web|fashion
Bass Energy Exploration,Oil & Gas,oil & gas
Basslined.com,Ediscovery|Entertainment Industry|Event Management|Marketplaces|Music|Online Reservations|Professional Networking,AI
Bastille,Cyber Security|Information Security|Internet of Things|Security,cyber security|information security|internet of things|security
Basys,Software,SaaS
Batanga Media,Advertising|Music|Video|Women,advertising|music|video|women
Batch Inc,File Sharing|Services|Shared Services,file sharing|services|shared services
BatesHook,Advertising|Social Media Marketing,MarTech
Bath Planet of Rockford,Home Decor|Lifestyle|Retail,AI
BathEmpire,E-Commerce|Furniture,e-commerce|furniture
Bathrooms.com,E-Commerce,e-commerce
Baton,Hospitals,hospitals
Baton Rouge Homes,Property Management|Real Estate|Rental Housing,property management|real estate|rental housing
Baton Rouge Vascular Access,Clinical Trials|Health Diagnostics|Medical,HealthTech
BATS,Mobile,mobile
BATS Global Markets,Finance|FinTech,FinTech
Batterii,Software,SaaS
Battlefy,Games|Video Game Tournaments,games|video game tournaments
Battlepro,Games|Online Gaming,games|online gaming
Batu Biologics,Biotechnology|Medical|Pharmaceuticals,HealthTech
"Batzu Media, Inc.",Content|Enterprise Software|Mobile,SaaS
BaubleBar,E-Commerce|Fashion|Flash Sales|Jewelry,e-commerce|fashion|flash sales|jewelry
BAUNAT,E-Commerce,e-commerce
Bauxy,Health Care|Insurance|Technology,HealthTech
Bauzaar,Curated Web,curated web
Bavarian Nordic,Biotechnology|Health and Wellness|Medical,HealthTech
Bavia Health,Health and Wellness,HealthTech
Bawte,Brand Marketing|Consumers|Curated Web|Media|Social Media,MarTech
Baxano,Health Care,HealthTech
Baxano Surgical,Hardware + Software|Health Care|Medical,HealthTech
Bay Area Transportation,Transportation,transportation
Bay Dynamics,Big Data Analytics|Information Services|Risk Management,big data analytics|information services|risk management
Bay Microsystems,Web Hosting,web hosting
Bay Pac Beverages,Brewing|Craft Beer|Wine And Spirits,brewing|craft beer|wine and spirits
Bay State Surgical Services,Biotechnology,biotechnology
Bay Talkitec (P),Messaging,messaging
Boomerang,Browser Extensions|Email|Messaging,AI
Bayes Impact,Big Data|Data Mining|Non Profit,big data|data mining|non profit
Bayhill Therapeutics,Biotechnology,biotechnology
Baynetwork,Enterprise Software,SaaS
Baynote,Reviews and Recommendations|Search|Software|Web Design,SaaS
BayouGlobal Forex Trading,Finance,FinTech
BayPackets,Software,SaaS
Baytex,Android|iOS|iPad|iPhone|Mobile,android|ios|ipad|iphone|mobile
Bayzat,Banking|Insurance|Price Comparison,FinTech
"Bazaar Corner, Inc.",E-Commerce|Online Shopping|Social Media,E-Commerce
Wallis & Holdings,News,news
Bazaart,Apps|iOS|iPad|iPhone|Mobile|Photo Editing|Photography|Social Media,apps|ios|ipad|iphone|mobile|photo editing|photography|social media
Bazaarvoice,Content|E-Commerce|Internet|Networking|Reviews and Recommendations|SaaS|Social Commerce|Social Media|Software,SaaS
Bazelevs Innovations,Content|Graphics|Software|Visualization,SaaS
BaziFIT,Biometrics|Fitness|Medical Devices,HealthTech
Bazinga,Crowdfunding|Crowdsourcing|E-Commerce|Game|Games|Gamification|Social Commerce,crowdfunding|crowdsourcing|e-commerce|game|games|gamification|social commerce
bazinga! Technologies,Software,SaaS
BB Custom Musical Instruments,Musical Instruments,musical instruments
BBB,Android|Medical Devices|Mobile,HealthTech
BBC Easy,Software,SaaS
BBE,Advertising,advertising
BBK Worldwide,Advertising|Analytics|Big Data Analytics|Media,advertising|analytics|big data analytics|media
BBL Enterprises,Software,SaaS
Raytheon BBN Technologies,Web Hosting,web hosting
BBOXX,Hardware + Software,SaaS
BBS Technologies,Software,SaaS
BCactionMR.com,Entertainment|News|Reviews and Recommendations,AI
BCAST,Media|News,media|news
BCB Medical,Health and Wellness,HealthTech
Subtextual,Email|Messaging|Twitter Applications,AI
BCKSTGR,Entertainment|Games|Incentives|Loyalty Programs|Media|SaaS|Social Media|Virtual Currency,AI
BCM Solutions,Consulting|Mobile|Outsourcing,consulting|mobile|outsourcing
BCNX,Advertising,advertising
bCommunities,Enterprise Software,SaaS
BCR Environmental,Clean Technology,clean technology
bd4travel,Customer Service|Online Travel|Services|Shopping,E-Commerce
Bday,Social Media,social media
BDCM Support Services Corporation,Consulting|Hedge Funds,consulting|hedge funds
Three Stage Media,Advertising,advertising
BDNA,Software,SaaS
BDS Analytics,Market Research,market research
BDS.com.au,Advertising|E-Commerce|Mobile,advertising|e-commerce|mobile
Be Better Hotels,Hospitality,hospitality
Be-Bound,Curated Web,curated web
Be Great Partners,Finance|Incubators|Internet|Startups|Venture Capital,FinTech
Be Heard LLC,Audio|Events|Location Based Services|Social Media|Web Tools,audio|events|location based services|social media|web tools
Be Here,Web Hosting,web hosting
Be Lazee,Consumers,consumers
Be my eyes,Software,SaaS
Be Sport,Social Media|Sports,social media|sports
Be Spotted,Advertising|Apps,advertising|apps
be2,Curated Web|Match-Making|Online Dating,curated web|match-making|online dating
Beabloo,Enterprise Software|Finance,FinTech
Beach Solutions,Internet,internet
Beachhead Exports USA,Retail|Services,AI
BeachMint,E-Commerce,e-commerce
Beacon,Travel,travel
Beacon Endoscopic,Health Care,HealthTech
Beacon Health Strategies,Health and Wellness,HealthTech
Beacon Partners,Health and Wellness|Healthcare Services|Medical,HealthTech
Beacon Power,Clean Technology,clean technology
BeaconsInSpace,Developer APIs|Internet of Things|Location Based Services|Marketplaces,developer apis|internet of things|location based services|marketplaces
beaconsmind AG,Analytics|Consulting|Customer Service|Data Visualization|Location Based Services|Mobile Software Tools|Point of Sale|Proximity Internet|Retail Technology|Web CMS,AI
Beactica AB,Health and Wellness|Medical|Pharmaceuticals,HealthTech
bead Button,Fashion,fashion
Beagle Bioinformatics,Biotechnology,biotechnology
Beagle Bioproducts,Biotechnology,biotechnology
Beagle Inc.,Artificial Intelligence|Business Productivity|Collaboration|Information Services|Machine Learning|Natural Language Processing|SaaS,AI
Beam Express,Semiconductors,semiconductors
Beam Messenger,Messaging|Mobile|Photo Sharing|Real Time,messaging|mobile|photo sharing|real time
Beam Networks,Telecommunications|Wireless,telecommunications|wireless
Beam Suntory,Wine And Spirits,wine and spirits
Beam Technologies,Dental|E-Commerce|Insurance,dental|e-commerce|insurance
BeamExpress,Web Hosting,web hosting
Beamly,Advertising Platforms|Content Discovery|Curated Web|Optimization|Social Media Advertising|Social Media Marketing|Social Television|Television,MarTech
Beanhunter,Curated Web|Reviews and Recommendations,curated web|reviews and recommendations
BeanJockey,Finance,FinTech
Canopy Tax,SaaS|Small and Medium Businesses|Software|Taxis,SaaS
Beanup,Mobile,mobile
Bear butler,Software,SaaS
Bear State Technologies,Medical,HealthTech
Bearch,Consumer Internet,consumer internet
BearTail,Enterprise Software,SaaS
Beartooth,Communications Hardware|Consumer Electronics|Internet of Things|Mobile|Public Safety,communications hardware|consumer electronics|internet of things|mobile|public safety
BEAT BioTherapeutics,Biotechnology,biotechnology
Beat Freak Music Group,Entertainment|Music,AI
Beat the Q,Information Technology,information technology
BeatBox Beverages,Consumer Goods,consumer goods
BeatDeck,Games|Music,games|music
beatlab,Music,music
The Beatpacking Company,Music,music
Beatpals,Entertainment,AI
Beatrobo,Music,music
Beatroot Music,Music,music
Beats Electronics,Hardware|Music,hardware|music
Beats Music,Android|Internet|iOS|Music,android|internet|ios|music
BeatSwitch,Artists Globally|Collaboration|Event Management|Events|Music|SaaS|Software,SaaS
Beatsy,E-Commerce|Events|Music|Peer-to-Peer,e-commerce|events|music|peer-to-peer
BeatTheBushes,Social Media,social media
BeauCoo,E-Commerce|Fashion|Mobile|Retail|Social Media,AI
Beauteeze.com,Beauty|Mobile|Search|Spas|Startups,beauty|mobile|search|spas|startups
Beautifeye,Machine Learning|Photography|SaaS|Social Network Media,SaaS
Beautini,Beauty|Services|Women,beauty|services|women
BeautyBooked,Curated Web,curated web
Beauty Noted,Beauty,beauty
Beauty Works,Wholesale,wholesale
BeautyCon,Beauty|Media,beauty|media
Beautycounter,Beauty|Cosmetics|E-Commerce|Health Care,HealthTech
Beautylish,E-Commerce,e-commerce
BeautyNow,Beauty|Lifestyle|Online Reservations,beauty|lifestyle|online reservations
BeautyStat.com,Beauty|Consumer Goods|Cosmetics|E-Commerce|Mobile|Mobile Commerce|Social Media|Technology,beauty|consumer goods|cosmetics|e-commerce|mobile|mobile commerce|social media|technology
BeautyTicket.com,Curated Web,curated web
BeautyTour Inc.,Beauty|Social Media|Social Network Media,beauty|social media|social network media
Bebestore,E-Commerce,e-commerce
beBetter Health,Health and Wellness,HealthTech
Bebitos,Babies|E-Commerce,babies|e-commerce
MANGLAM EDUCATION,Social Media|Social Network Media,social media|social network media
BeBop Sensors,Manufacturing,manufacturing
BECC,Networking,networking
Beceem Communications,Semiconductors,semiconductors
Becker College,Education,EdTech
BeckerSmith Medical,Medical Devices,HealthTech
Beckett & Robb,E-Commerce|Fashion|Retail,AI
Beckom Investment Group,Finance,FinTech
"Beckon, Inc.",Analytics|Big Data Analytics|New Technologies|SaaS|Sales and Marketing,SaaS
BeckonCall,Health Care|Mobile|SaaS,HealthTech
becoacht GmbH,Communities|Health and Wellness|Social Commerce,HealthTech
"Become, Inc.",Advertising Platforms|Comparison Shopping|E-Commerce Platforms|Performance Marketing|Search|Shopping,E-Commerce
Become Media Inc.,SNS|Social Media,sns|social media
BeCouply,Mobile,mobile
Becual,Crowdfunding|Finance Technology|Financial Services|FinTech|Personal Finance|Social Media,FinTech
Bedbathmore.com,E-Commerce,e-commerce
Beddit,Health and Wellness,HealthTech
Bedford Energy,Oil and Gas,oil and gas
